Time,Altitude (m),Speed (km/h),Latitude,Longitude,Battery (%),Warnings
22:41:47,977.67,146.02,33.892026,73.268297,55.1,High Speed
22:41:48,953.64,123.33,33.63902,73.236364,69.4,High Speed
22:41:50,320.23,46.7,33.797196,73.072149,76.2,
22:41:51,112.8,44.56,33.832218,72.812523,66.2,
22:41:52,384.59,42.76,33.660562,73.273253,37.3,
22:41:53,283.42,115.91,33.525549,73.269247,66.4,
22:41:53,983.19,139.07,33.906073,72.917223,63.8,High Speed
22:41:54,582.51,126.15,33.702901,73.011615,77.7,High Speed
22:41:54,404.19,87.9,33.919601,73.198726,57.1,
22:41:55,459.71,47.6,33.523086,73.024941,73.6,
22:41:55,472.71,123.79,33.658169,72.871,92.2,"High Speed,GPS Signal Weak"
22:41:56,653.63,32.97,33.74055,73.146022,36.0,
22:41:56,751.96,44.28,33.854187,72.816704,85.7,
22:41:57,750.8,94.05,33.641837,73.237847,71.6,
22:41:57,600.05,25.19,33.793502,73.043749,22.4,Low Battery
22:41:58,421.73,125.22,33.908553,73.166985,90.4,High Speed
22:41:58,470.48,138.58,33.837994,73.032266,27.8,"Low Battery,High Speed"
22:41:59,851.13,12.87,33.626138,72.950812,85.0,
22:41:59,730.39,38.61,33.682558,73.061602,58.1,
22:42:00,430.1,124.61,33.784262,73.065387,57.8,High Speed
22:42:00,883.76,29.92,33.86184,72.978338,84.9,
22:42:01,197.43,20.87,33.918348,72.986131,66.0,
22:42:01,227.39,46.51,33.968795,73.028172,71.2,
22:42:02,576.7,120.91,33.876196,72.895131,96.6,High Speed
22:42:02,701.03,110.42,33.682232,72.876193,93.5,
22:42:03,361.31,59.69,33.869615,73.249349,86.8,
22:42:03,292.27,102.7,33.701686,73.108793,97.6,
22:42:04,350.19,115.08,33.789454,73.082173,78.6,
22:42:04,797.9,56.07,33.710363,72.92917,57.5,
22:42:05,560.94,47.32,33.568533,73.297989,52.3,
22:42:05,254.69,140.27,33.944613,73.295679,23.8,"Low Battery,High Speed,GPS Signal Weak"
22:42:06,489.38,90.9,33.516091,73.265164,43.4,
22:42:06,654.25,57.27,33.5657,73.175117,92.7,
22:42:07,370.49,10.39,33.516171,73.223658,89.8,
22:42:07,966.0,115.44,33.570329,73.186011,76.1,
22:42:08,199.11,18.45,33.728682,73.253665,72.0,
22:42:08,794.26,100.16,33.515673,73.298019,69.6,
22:42:09,729.35,138.52,33.603613,72.99903,70.3,High Speed
22:42:09,229.94,115.94,33.743711,72.846098,84.7,
22:42:10,314.78,68.51,33.548177,72.936779,41.5,
22:42:10,700.17,68.43,33.649945,73.193169,68.3,
