Time,Altitude (m),Groundspeed (m/s),Latitude,Longitude,Battery (%),Warnings
14:16:29,,,,,77.1,
14:16:30,,,,,74.7,
14:16:31,,,,,70.5,
14:16:32,,,,,76.4,
14:16:32,,,,,81.3,
14:16:34,,,,,95.0,
14:16:35,,,,,80.7,
14:16:36,,,,,76.3,
14:16:37,,,,,94.3,
14:16:38,,,,,61.3,
14:16:39,,,,,84.2,
14:16:40,,,,,60.0,
14:16:41,,,,,60.0,
14:16:42,,,,,83.6,
14:16:43,,,,,94.9,
14:16:44,,,,,90.0,
14:16:45,,,,,66.7,
14:16:46,,,,,86.2,
14:16:47,,,,,99.2,
14:16:48,,,,,74.9,
14:16:49,,,,,67.4,
14:16:50,,,,,61.6,
14:16:51,,,,,77.2,
14:16:52,,,,,84.7,
14:16:53,,,,,98.1,
14:16:54,,,,,84.8,
14:16:55,,,,,66.7,
14:16:56,,,,,71.1,
14:16:57,,,,,63.6,
14:16:58,,,,,79.9,
14:16:59,,,,,66.9,
14:17:00,,,,,88.9,
14:17:01,,,,,80.0,
14:17:02,,,,,65.3,
14:17:03,,,,,85.8,
14:17:04,,,,,62.0,
14:17:04,,,,,71.0,
14:17:06,,,,,97.0,
14:17:07,,,,,97.1,
14:17:07,,,,,70.1,
14:17:09,,,,,99.5,
14:17:10,,,,,85.1,
14:17:10,,,,,91.5,
14:17:12,,,,,62.5,
14:17:13,,,,,70.5,
14:17:13,,,,,98.0,
14:17:15,,,,,74.1,
14:17:16,,,,,98.3,
14:17:16,,,,,95.9,
14:17:17,,,,,91.9,
14:17:19,,,,,68.1,
14:17:19,,,,,94.2,
14:17:20,,,,,72.9,
14:17:22,,,,,79.2,
14:17:22,,,,,78.7,
14:17:23,,,,,82.4,
14:17:24,,,,,68.8,
14:17:25,,,,,73.5,
14:17:26,,,,,93.6,
14:17:27,,,,,85.7,
14:17:28,,,,,75.4,
14:17:29,,,,,81.3,
14:17:30,,,,,93.7,
14:17:32,,,,,79.6,
14:17:32,,,,,82.0,
14:17:33,,,,,88.9,
14:17:34,,,,,70.8,
14:17:35,,,,,77.3,
14:17:36,,,,,75.2,
14:17:37,,,,,87.7,
14:17:38,,,,,71.2,
14:17:39,,,,,85.1,
14:17:40,,,,,77.9,
14:17:41,,,,,67.0,
14:17:42,,,,,69.1,
14:17:42,,,,,64.0,
14:17:43,,,,,92.3,
14:17:44,,,,,99.2,
14:17:45,,,,,94.9,
14:17:46,,,,,73.6,
14:17:47,,,,,68.2,
14:17:48,,,,,88.6,
14:17:49,,,,,81.8,
14:17:50,,,,,81.3,
14:17:51,,,,,79.1,
14:17:52,,,,,92.4,
14:17:53,,,,,95.0,
14:17:54,,,,,81.5,
14:17:55,,,,,73.5,
14:17:56,,,,,79.1,
14:17:57,,,,,91.1,
14:17:58,,,,,82.1,
14:17:59,,,,,70.8,
14:17:59,,,,,82.3,
14:18:00,,,,,66.8,
14:18:01,,,,,76.7,
14:18:02,,,,,72.6,
14:18:02,,,,,60.5,
14:18:03,,,,,71.6,
14:18:04,,,,,74.5,
14:18:05,,,,,94.8,
14:18:06,,,,,78.7,
14:18:07,,,,,82.4,
14:18:08,,,,,67.1,
14:18:09,,,,,78.7,
14:18:10,,,,,78.9,
14:18:11,,,,,97.8,
14:18:12,,,,,76.2,
14:18:12,,,,,90.3,
14:18:13,,,,,74.8,
14:18:14,,,,,60.8,
14:18:15,,,,,89.6,
14:18:16,,,,,76.0,
14:18:17,,,,,63.8,
14:18:19,,,,,95.0,
14:18:20,,,,,78.9,
14:18:21,,,,,94.6,
14:18:22,,,,,76.6,
14:18:22,,,,,87.7,
14:18:23,,,,,84.5,
14:18:24,,,,,79.6,
14:18:25,,,,,67.9,
14:18:26,,,,,87.0,
14:18:27,,,,,85.2,
14:18:28,,,,,87.6,
14:18:29,,,,,87.8,
14:18:30,,,,,83.2,
14:18:31,,,,,74.9,
14:18:32,,,,,70.5,
14:18:32,,,,,93.5,
14:18:33,,,,,70.3,
14:18:34,,,,,84.1,
14:18:35,,,,,76.5,
14:18:36,,,,,89.9,
14:18:37,,,,,79.7,
14:18:38,,,,,80.4,
14:18:39,,,,,85.0,
14:18:40,,,,,64.6,
14:18:41,,,,,88.1,
14:18:42,,,,,71.9,
14:18:43,,,,,84.2,
14:18:44,,,,,95.3,
14:18:45,,,,,94.5,
14:18:46,,,,,79.5,
14:18:47,,,,,83.3,
14:18:48,,,,,84.4,
14:18:49,,,,,79.0,
14:18:50,,,,,95.2,
14:18:51,,,,,91.1,
14:18:52,,,,,72.6,
14:18:53,,,,,83.0,
14:18:54,,,,,91.0,
14:18:55,,,,,68.1,
14:18:56,,,,,74.9,
14:18:57,,,,,74.1,
14:18:58,,,,,60.6,
14:18:59,,,,,68.2,
14:19:00,,,,,60.6,
14:19:00,,,,,83.1,
14:19:02,,,,,60.4,
14:19:03,,,,,63.7,
14:19:03,,,,,77.1,
14:19:05,,,,,82.3,
14:19:06,,,,,82.1,
14:19:06,,,,,63.1,
14:19:08,,,,,63.4,
14:19:09,,,,,80.5,
14:19:09,,,,,86.7,
14:19:11,,,,,90.8,
14:19:12,,,,,89.9,
14:19:12,,,,,68.5,
14:19:14,,,,,80.6,
14:19:15,,,,,96.7,
14:19:15,,,,,78.2,
14:19:17,,,,,66.1,
14:19:18,,,,,60.3,
14:19:18,,,,,96.9,
14:19:19,,,,,95.9,
14:19:20,,,,,86.6,
14:19:21,,,,,76.0,
14:19:22,,,,,76.7,
14:19:22,,,,,61.4,
14:19:23,,,,,84.5,
14:19:24,,,,,85.2,
14:19:25,,,,,96.4,
14:19:26,,,,,68.7,
14:19:27,,,,,77.5,
14:19:28,,,,,81.4,
14:19:29,,,,,78.4,
14:19:30,,,,,88.9,
14:19:31,,,,,74.9,
14:19:32,,,,,69.7,
14:19:32,,,,,90.6,
14:19:33,,,,,89.6,
14:19:34,,,,,93.6,
14:19:35,,,,,91.5,
14:19:36,,,,,70.9,
14:19:37,,,,,99.4,
14:19:38,,,,,66.1,
14:19:39,,,,,76.0,
14:19:40,,,,,78.9,
14:19:41,,,,,77.7,
14:19:42,,,,,82.7,
14:19:42,,,,,73.6,
14:19:43,,,,,91.0,
14:19:44,,,,,73.0,
14:19:45,,,,,94.3,
14:19:46,,,,,73.0,
14:19:47,,,,,82.5,
14:19:49,,,,,83.8,
14:19:50,,,,,89.9,
14:19:51,,,,,91.3,
14:19:52,,,,,63.9,
14:19:52,,,,,65.6,
14:19:53,,,,,93.3,
14:19:54,,,,,95.9,
14:19:55,,,,,96.7,
14:19:56,,,,,67.8,
